image_path,review,sentiment
dataset-images/positive/6857530581,Wow... Loved this place.,positive
dataset-images/negative/2083002137,Crust is not good.,negative
dataset-images/negative/299790029,Not tasty and the texture was just nasty.,negative
dataset-images/positive/5744840179,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,positive
dataset-images/positive/2974789026,The selection on the menu was great and so were the prices.,positive
dataset-images/negative/6265722470,Now I am getting angry and I want my damn pho.,negative
dataset-images/negative/4945995856,Honeslty it didn't taste THAT fresh.),negative
dataset-images/negative/5735504899,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,negative
dataset-images/positive/5267235691,The fries were great too.,positive
dataset-images/positive/5606084552,A great touch.,positive
dataset-images/positive/7075260187,Service was very prompt.,positive
dataset-images/negative/4855312755,Would not go back.,negative
dataset-images/negative/5664317005,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,negative
dataset-images/positive/501380575,"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",positive
dataset-images/negative/5960441979,I was disgusted because I was pretty sure that was human hair.,negative
dataset-images/negative/4866756825,I was shocked because no signs indicate cash only.,negative
dataset-images/positive/3088157627,Highly recommended.,positive
dataset-images/negative/6468932445,Waitress was a little slow in service.,negative
dataset-images/negative/6046753260,"This place is not worth your time, let alone Vegas.",negative
dataset-images/negative/4945711797,did not like at all.,negative
dataset-images/negative/5131634711,The Burrittos Blah!,negative
dataset-images/positive/7302576148,"The food, amazing.",positive
dataset-images/positive/32571271,Service is also cute.,positive
dataset-images/positive/259623904,I could care less... The interior is just beautiful.,positive
dataset-images/positive/7195636012,So they performed.,positive
dataset-images/positive/5411518732,That's right....the red velvet cake.....ohhh this stuff is so good.,positive
dataset-images/negative/5577500348,- They never brought a salad we asked for.,negative
dataset-images/positive/2253834375,"This hole in the wall has great Mexican street tacos, and friendly staff.",positive
dataset-images/negative/7154855330,"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",negative
dataset-images/negative/6943577281,The worst was the salmon sashimi.,negative
dataset-images/positive/4269924440,"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",positive
dataset-images/negative/4296934903,This was like the final blow!,negative
dataset-images/positive/7243995432,I found this place by accident and I could not be happier.,positive
dataset-images/negative/2540746270,"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",negative
dataset-images/positive/3575691416,"Overall, I like this place a lot.",positive
dataset-images/positive/5300046718,The only redeeming quality of the restaurant was that it was very inexpensive.,positive
dataset-images/positive/5425316894,Ample portions and good prices.,positive
dataset-images/negative/7161723198,"Poor service, the waiter made me feel like I was stupid every time he came to the table.",negative
dataset-images/positive/5283467366,My first visit to Hiro was a delight!,positive
dataset-images/negative/145087296,Service sucks.,negative
dataset-images/positive/5808612838,The shrimp tender and moist.,positive
dataset-images/negative/2341372549,There is not a deal good enough that would drag me into that establishment again.,negative
dataset-images/negative/5076159488,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,negative
dataset-images/positive/5987597790,"On a positive note, our server was very attentive and provided great service.",positive
dataset-images/negative/6552536883,"Frozen pucks of disgust, with some of the worst people behind the register.",negative
dataset-images/positive/1155041818,The only thing I did like was the prime rib and dessert section.,positive
dataset-images/negative/5534594032,It's too bad the food is so damn generic.,negative
dataset-images/positive/4939867068,"The burger is good beef, cooked just right.",positive
dataset-images/positive/2177553407,If you want a sandwich just go to any Firehouse!!!!!,positive
dataset-images/positive/4385373268,"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",positive
dataset-images/positive/4787648116,We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,positive
dataset-images/positive/6363909705,He came running after us when he realized my husband had left his sunglasses on the table.,positive
dataset-images/positive/5982559365,Their chow mein is so good!,positive
dataset-images/negative/6030637459,"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",negative
dataset-images/positive/5599643060,The portion was huge!,positive
dataset-images/positive/228286529,"Loved it...friendly servers, great food, wonderful and imaginative menu.",positive
dataset-images/negative/3231993426,The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,negative
dataset-images/negative/5434113375,Not much seafood and like 5 strings of pasta at the bottom.,negative
dataset-images/positive/5992881532,"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",positive
dataset-images/negative/6158798543,"The ripped banana was not only ripped, but petrified and tasteless.",negative
dataset-images/negative/6235694240,At least think to refill my water before I struggle to wave you over for 10 minutes.,negative
dataset-images/positive/3523174391,This place receives stars for their APPETIZERS!!!,positive
dataset-images/positive/3618901936,The cocktails are all handmade and delicious.,positive
dataset-images/positive/5029804668,We'd definitely go back here again.,positive
dataset-images/positive/6349439165,We are so glad we found this place.,positive
dataset-images/positive/2869571338,"Great food and service, huge portions and they give a military discount.",positive
dataset-images/positive/5693485410,Always a great time at Dos Gringos!,positive
dataset-images/positive/3533417286,Update.....went back for a second time and it was still just as amazing,positive
dataset-images/negative/5196597432,We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,negative
dataset-images/positive/5260711423,A great way to finish a great.,positive
dataset-images/positive/6782872294,"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",positive
dataset-images/positive/4745028386,"- Really, really good rice, all the time.",positive
dataset-images/negative/6989556014,The service was meh.,negative
dataset-images/negative/6403548545,"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",negative
dataset-images/negative/6819439096,"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",negative
dataset-images/negative/5269563848,The scallop dish is quite appalling for value as well.,negative
dataset-images/negative/5348389048,2 times - Very Bad Customer Service !,negative
dataset-images/positive/4904527166,The sweet potato fries were very good and seasoned well.,positive
dataset-images/positive/1091128353,Today is the second time I've been to their lunch buffet and it was pretty good.,positive
dataset-images/negative/5707032620,There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,negative
dataset-images/negative/3136844467,Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,negative
dataset-images/negative/3219522696,walked in and the place smelled like an old grease trap and only 2 others there eating.,negative
dataset-images/negative/3933185709,The turkey and roast beef were bland.,negative
dataset-images/positive/2950166480,This place has it!,positive
dataset-images/negative/6284808636,The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,negative
dataset-images/positive/2143308506,I love the Pho and the spring rolls oh so yummy you have to try.,positive
dataset-images/negative/7184085144,The poor batter to meat ratio made the chicken tenders very unsatisfying.,negative
dataset-images/positive/2255177464,All I have to say is the food was amazing!!!,positive
dataset-images/positive/5270883805,Omelets are to die for!,positive
dataset-images/positive/1882119435,Everything was fresh and delicious!,positive
dataset-images/negative/469328291,"In summary, this was a largely disappointing dining experience.",negative
dataset-images/positive/3184124918,"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",positive
dataset-images/negative/4638149296,"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",negative
dataset-images/positive/2602098455,Best breakfast buffet!!!,positive
dataset-images/negative/3246704623,say bye bye to your tip lady!,negative
dataset-images/negative/6068314546,We'll never go again.,negative
dataset-images/positive/4894186857,Will be back again!,positive
dataset-images/positive/5977476031,Food arrived quickly!,positive
dataset-images/negative/2469565786,It was not good.,negative
dataset-images/positive/5616148163,"On the up side, their cafe serves really good food.",positive
dataset-images/positive/5044998254,"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",positive
dataset-images/positive/4792943780,"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",positive
dataset-images/positive/5888834270,"Best Buffet in town, for the price you cannot beat it.",positive
dataset-images/positive/1400993960,"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",positive
dataset-images/positive/417985622,This is one of the better buffets that I have been to.,positive
dataset-images/positive/4572734957,So we went to Tigerlilly and had a fantastic afternoon!,positive
dataset-images/positive/3767105044,"The food was delicious, our bartender was attentive and personable AND we got a great deal!",positive
dataset-images/positive/6517042859,The ambience is wonderful and there is music playing.,positive
dataset-images/positive/6354905457,Will go back next trip out.,positive
dataset-images/positive/4085847071,Sooooo good!!,positive
dataset-images/negative/2937597532,"REAL sushi lovers, let's be honest - Yama is not that good.",negative
dataset-images/negative/4019172198,"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",negative
dataset-images/positive/269762541,This is a really fantastic Thai restaurant which is definitely worth a visit.,positive
dataset-images/positive/5594510637,"Nice, spicy and tender.",positive
dataset-images/positive/4933068453,Good prices.,positive
dataset-images/positive/3617936505,Check it out.,positive
dataset-images/negative/6743647655,It was pretty gross!,negative
dataset-images/negative/5412238164,I've had better atmosphere.,negative
dataset-images/negative/3933373587,Kind of hard to mess up a steak but they did.,negative
dataset-images/negative/4212334816,"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",negative
dataset-images/negative/6319599494,I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,negative
dataset-images/negative/142269314,"Worst service to boot, but that is the least of their worries.",negative
dataset-images/positive/4968927823,Service was fine and the waitress was friendly.,positive
dataset-images/positive/4904694901,"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",positive
dataset-images/positive/1856093572,"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",positive
dataset-images/negative/3171537915,"Host staff were, for lack of a better word, BITCHES!",negative
dataset-images/negative/5006693979,Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,negative
dataset-images/positive/4045200143,"Phenomenal food, service and ambiance.",positive
dataset-images/negative/471996441,I wouldn't return.,negative
dataset-images/positive/3626637874,"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",positive
dataset-images/negative/4390630807,This place is way too overpriced for mediocre food.,negative
dataset-images/positive/4582777395,Penne vodka excellent!,positive
dataset-images/positive/5929771131,"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",positive
dataset-images/negative/5451413566,The management is rude.,negative
dataset-images/positive/5380166644,"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",positive
dataset-images/positive/2956947536,"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",positive
dataset-images/positive/6328197886,I had a seriously solid breakfast here.,positive
dataset-images/positive/4583044169,This is one of the best bars with food in Vegas.,positive
dataset-images/negative/7158126892,"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",negative
dataset-images/positive/2353859675,My drink was never empty and he made some really great menu suggestions.,positive
dataset-images/negative/4800812674,Don't do it!!!!,negative
dataset-images/negative/2701064222,The waiter wasn't helpful or friendly and rarely checked on us.,negative
dataset-images/negative/4968891554,My husband and I ate lunch here and were very disappointed with the food and service.,negative
dataset-images/negative/7141029283,And the red curry had so much bamboo shoots and wasn't very tasty to me.,negative
dataset-images/positive/7287510124,Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,positive
dataset-images/positive/5191831022,The bathrooms are clean and the place itself is well decorated.,positive
dataset-images/negative/3687657108,"The menu is always changing, food quality is going down & service is extremely slow.",negative
dataset-images/negative/5589964823,"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",negative
dataset-images/negative/487602174,I give it 2 thumbs down,negative
dataset-images/negative/4260508668,We watched our waiter pay a lot more attention to other tables and ignore us.,negative
dataset-images/positive/5741039770,My fiancé and I came in the middle of the day and we were greeted and seated right away.,positive
dataset-images/positive/5901961699,This is a great restaurant at the Mandalay Bay.,positive
dataset-images/negative/4580354121,We waited for forty five minutes in vain.,negative
dataset-images/negative/4343583189,Crostini that came with the salad was stale.,negative
dataset-images/positive/5846430719,Some highlights : Great quality nigiri here!,positive
dataset-images/positive/7101856205,the staff is friendly and the joint is always clean.,positive
dataset-images/positive/5918585235,this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,positive
dataset-images/positive/2217270938,I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,positive
dataset-images/positive/6924401686,this place is good.,positive
dataset-images/negative/4760793790,"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",negative
dataset-images/negative/3743155224,I came back today since they relocated and still not impressed.,negative
dataset-images/positive/7298317438,I was seated immediately.,positive
dataset-images/positive/2095585986,"Their menu is diverse, and reasonably priced.",positive
dataset-images/negative/4404151009,Avoid at all cost!,negative
dataset-images/positive/6018404082,Restaurant is always full but never a wait.,positive
dataset-images/positive/4827475027,DELICIOUS!!,positive
dataset-images/positive/5435923222,This place is hands-down one of the best places to eat in the Phoenix metro area.,positive
dataset-images/negative/441376146,So don't go there if you are looking for good food...,negative
dataset-images/negative/5391095652,I've never been treated so bad.,negative
dataset-images/positive/3479975941,Bacon is hella salty.,positive
